fiscal_year,quarter,period,total_revenue_usd,total_cogs_usd,gross_profit_usd,gross_margin_pct,total_opex_usd,ebit_usd,ebit_margin_pct,interest_expense_usd,ebt_usd,net_income_usd,net_margin_pct
2022,Q1,2022-Q1,2412510.54,858758.32,1553752.22,64.4,787048.28,766703.94,31.78,21934.86,744769.08,580919.88,24.08
2022,Q2,2022-Q2,2378141.4,789483.28,1588658.12,66.8,760243.85,828414.27,34.83,30812.41,797601.86,622129.45,26.16
2022,Q3,2022-Q3,2508984.85,853121.46,1655863.39,66.0,791879.61,863983.78,34.44,23265.25,840718.53,655760.45,26.14
2022,Q4,2022-Q4,2917514.87,952923.68,1964591.19,67.34,935069.75,1029521.44,35.29,29287.78,1000233.67,780182.26,26.74
2023,Q1,2023-Q1,3054104.36,1070853.17,1983251.19,64.94,913741.65,1069509.54,35.02,34183.03,1035326.51,807554.68,26.44
2023,Q2,2023-Q2,2943068.81,1017448.45,1925620.36,65.43,885834.91,1039785.45,35.33,24501.5,1015283.95,791921.48,26.91
2023,Q3,2023-Q3,2957199.3,1028396.96,1928802.34,65.22,887502.01,1041300.33,35.21,43646.56,997653.77,778169.94,26.31
2023,Q4,2023-Q4,3732528.22,1195208.27,2537319.95,67.98,1135205.21,1402114.74,37.56,41360.4,1360754.34,1061388.39,28.44
2024,Q1,2024-Q1,2534531.59,874133.99,1660397.6,65.51,939955.66,720441.94,28.43,24867.45,695574.49,542548.1,21.41
2024,Q2,2024-Q2,2407528.13,790826.55,1616701.58,67.15,922087.37,694614.21,28.85,22375.52,672238.69,524346.18,21.78
2024,Q3,2024-Q3,2449973.52,826149.74,1623823.78,66.28,964033.89,659789.89,26.93,29853.66,629936.23,491350.26,20.06
2024,Q4,2024-Q4,3062898.32,979892.74,2083005.58,68.01,1148279.27,934726.31,30.52,31478.36,903247.95,704533.4,23.0
2025,Q1,2025-Q1,2860171.56,952900.2,1907271.36,66.68,1016365.68,890905.68,31.15,28506.02,862399.66,672671.73,23.52
