fiscal_year,quarter,period,department,cost_type,headcount,budget_usd,actual_usd,variance_usd,variance_pct,has_actual
2022,Q1,2022-Q1,Cloud Software,COGS+OpEx,84,2027052.49,1991541.55,-35510.94,-1.75,True
2022,Q1,2022-Q1,Professional Services,COGS+OpEx,60,1232795.72,1265644.55,32848.84,2.66,True
2022,Q1,2022-Q1,Support & Maintenance,COGS+OpEx,39,928692.11,914340.1,-14352.01,-1.55,True
2022,Q1,2022-Q1,Sales & Marketing,OpEx,53,1102916.02,1095524.64,-7391.38,-0.67,True
2022,Q1,2022-Q1,Research & Development,OpEx,48,944190.15,950313.79,6123.64,0.65,True
2022,Q1,2022-Q1,General & Administrative,OpEx,30,616987.33,600770.45,-16216.87,-2.63,True
2022,Q1,2022-Q1,Finance,OpEx,18,362728.96,379868.11,17139.15,4.73,True
2022,Q1,2022-Q1,Human Resources,OpEx,14,285926.34,287416.65,1490.31,0.52,True
2022,Q2,2022-Q2,Cloud Software,COGS+OpEx,83,1774889.53,1758387.32,-16502.22,-0.93,True
2022,Q2,2022-Q2,Professional Services,COGS+OpEx,62,1301042.76,1281251.76,-19791.0,-1.52,True
2022,Q2,2022-Q2,Support & Maintenance,COGS+OpEx,42,1016673.93,1034803.26,18129.33,1.78,True
2022,Q2,2022-Q2,Sales & Marketing,OpEx,56,1059332.63,1055123.29,-4209.34,-0.4,True
2022,Q2,2022-Q2,Research & Development,OpEx,47,990482.65,983029.03,-7453.62,-0.75,True
2022,Q2,2022-Q2,General & Administrative,OpEx,30,603359.38,632894.4,29535.02,4.9,True
2022,Q2,2022-Q2,Finance,OpEx,18,360047.55,369606.3,9558.75,2.65,True
2022,Q2,2022-Q2,Human Resources,OpEx,14,305557.89,299223.53,-6334.36,-2.07,True
2022,Q3,2022-Q3,Cloud Software,COGS+OpEx,86,1830164.88,1820791.84,-9373.03,-0.51,True
2022,Q3,2022-Q3,Professional Services,COGS+OpEx,61,1429510.13,1440627.71,11117.58,0.78,True
2022,Q3,2022-Q3,Support & Maintenance,COGS+OpEx,40,924717.0,954009.61,29292.61,3.17,True
2022,Q3,2022-Q3,Sales & Marketing,OpEx,54,1133543.82,1109321.48,-24222.34,-2.14,True
2022,Q3,2022-Q3,Research & Development,OpEx,46,1008338.84,1051299.44,42960.6,4.26,True
2022,Q3,2022-Q3,General & Administrative,OpEx,29,619514.38,604744.16,-14770.22,-2.38,True
2022,Q3,2022-Q3,Finance,OpEx,17,363261.2,370770.65,7509.44,2.07,True
2022,Q3,2022-Q3,Human Resources,OpEx,14,320786.28,325003.78,4217.5,1.31,True
2022,Q4,2022-Q4,Cloud Software,COGS+OpEx,86,1927492.16,1904814.86,-22677.31,-1.18,True
2022,Q4,2022-Q4,Professional Services,COGS+OpEx,61,1398150.66,1413334.27,15183.61,1.09,True
2022,Q4,2022-Q4,Support & Maintenance,COGS+OpEx,40,787557.26,823338.17,35780.91,4.54,True
2022,Q4,2022-Q4,Sales & Marketing,OpEx,54,1183294.11,1239787.61,56493.5,4.77,True
2022,Q4,2022-Q4,Research & Development,OpEx,49,998431.86,991230.41,-7201.45,-0.72,True
2022,Q4,2022-Q4,General & Administrative,OpEx,29,623646.35,618839.11,-4807.24,-0.77,True
2022,Q4,2022-Q4,Finance,OpEx,18,359841.43,377420.41,17578.99,4.89,True
2022,Q4,2022-Q4,Human Resources,OpEx,13,292202.85,300459.72,8256.87,2.83,True
2023,Q1,2023-Q1,Cloud Software,COGS+OpEx,89,2003380.91,1957750.27,-45630.64,-2.28,True
2023,Q1,2023-Q1,Professional Services,COGS+OpEx,67,1327299.22,1350223.58,22924.36,1.73,True
2023,Q1,2023-Q1,Support & Maintenance,COGS+OpEx,43,831694.59,849670.69,17976.1,2.16,True
2023,Q1,2023-Q1,Sales & Marketing,OpEx,57,1303928.88,1279156.42,-24772.46,-1.9,True
2023,Q1,2023-Q1,Research & Development,OpEx,50,1062077.47,1052131.47,-9946.0,-0.94,True
2023,Q1,2023-Q1,General & Administrative,OpEx,32,740323.2,732437.41,-7885.79,-1.07,True
2023,Q1,2023-Q1,Finance,OpEx,18,436900.58,435643.34,-1257.23,-0.29,True
2023,Q1,2023-Q1,Human Resources,OpEx,14,334595.43,345432.99,10837.56,3.24,True
2023,Q2,2023-Q2,Cloud Software,COGS+OpEx,90,1790281.57,1823427.43,33145.85,1.85,True
2023,Q2,2023-Q2,Professional Services,COGS+OpEx,63,1237536.92,1216331.28,-21205.64,-1.71,True
2023,Q2,2023-Q2,Support & Maintenance,COGS+OpEx,43,960901.46,986821.14,25919.68,2.7,True
2023,Q2,2023-Q2,Sales & Marketing,OpEx,57,1228982.27,1275607.24,46624.97,3.79,True
2023,Q2,2023-Q2,Research & Development,OpEx,51,1074295.33,1064858.92,-9436.41,-0.88,True
2023,Q2,2023-Q2,General & Administrative,OpEx,31,744494.66,759750.17,15255.51,2.05,True
2023,Q2,2023-Q2,Finance,OpEx,19,414312.58,408354.53,-5958.05,-1.44,True
2023,Q2,2023-Q2,Human Resources,OpEx,15,302312.28,297526.33,-4785.95,-1.58,True
2023,Q3,2023-Q3,Cloud Software,COGS+OpEx,92,2220953.53,2157071.2,-63882.33,-2.88,True
2023,Q3,2023-Q3,Professional Services,COGS+OpEx,67,1528974.43,1587443.57,58469.14,3.82,True
2023,Q3,2023-Q3,Support & Maintenance,COGS+OpEx,42,904584.67,889712.78,-14871.9,-1.64,True
2023,Q3,2023-Q3,Sales & Marketing,OpEx,58,1389592.17,1358707.26,-30884.91,-2.22,True
2023,Q3,2023-Q3,Research & Development,OpEx,51,1175686.05,1222936.69,47250.64,4.02,True
2023,Q3,2023-Q3,General & Administrative,OpEx,32,724871.09,720150.26,-4720.83,-0.65,True
2023,Q3,2023-Q3,Finance,OpEx,19,460786.21,465812.19,5025.98,1.09,True
2023,Q3,2023-Q3,Human Resources,OpEx,14,328752.22,339819.14,11066.92,3.37,True
2023,Q4,2023-Q4,Cloud Software,COGS+OpEx,92,1863591.1,1893897.59,30306.48,1.63,True
2023,Q4,2023-Q4,Professional Services,COGS+OpEx,63,1342599.61,1365781.82,23182.21,1.73,True
2023,Q4,2023-Q4,Support & Maintenance,COGS+OpEx,42,843350.58,826622.58,-16727.99,-1.98,True
2023,Q4,2023-Q4,Sales & Marketing,OpEx,58,1302025.92,1271855.11,-30170.81,-2.32,True
2023,Q4,2023-Q4,Research & Development,OpEx,49,1081083.13,1111447.84,30364.71,2.81,True
2023,Q4,2023-Q4,General & Administrative,OpEx,32,698600.74,692779.01,-5821.73,-0.83,True
2023,Q4,2023-Q4,Finance,OpEx,19,374744.47,388564.45,13819.98,3.69,True
2023,Q4,2023-Q4,Human Resources,OpEx,15,304304.41,301267.28,-3037.13,-1.0,True
2024,Q1,2024-Q1,Cloud Software,COGS+OpEx,95,2140856.42,2430913.63,290057.2,13.55,True
2024,Q1,2024-Q1,Professional Services,COGS+OpEx,70,1538691.74,1638357.57,99665.83,6.48,True
2024,Q1,2024-Q1,Support & Maintenance,COGS+OpEx,45,959846.97,1002656.39,42809.43,4.46,True
2024,Q1,2024-Q1,Sales & Marketing,OpEx,59,1385794.7,1454784.29,68989.59,4.98,True
2024,Q1,2024-Q1,Research & Development,OpEx,53,1108239.99,1196733.48,88493.49,7.99,True
2024,Q1,2024-Q1,General & Administrative,OpEx,33,701412.98,773368.12,71955.15,10.26,True
2024,Q1,2024-Q1,Finance,OpEx,20,458966.46,480563.99,21597.53,4.71,True
2024,Q1,2024-Q1,Human Resources,OpEx,15,305861.32,335697.31,29835.98,9.75,True
2024,Q2,2024-Q2,Cloud Software,COGS+OpEx,94,2092156.89,2372812.37,280655.48,13.41,True
2024,Q2,2024-Q2,Professional Services,COGS+OpEx,68,1624229.15,1700464.18,76235.03,4.69,True
2024,Q2,2024-Q2,Support & Maintenance,COGS+OpEx,44,847056.62,886968.96,39912.35,4.71,True
2024,Q2,2024-Q2,Sales & Marketing,OpEx,60,1359927.89,1452655.22,92727.33,6.82,True
2024,Q2,2024-Q2,Research & Development,OpEx,52,1209688.63,1346996.88,137308.25,11.35,True
2024,Q2,2024-Q2,General & Administrative,OpEx,34,698710.27,783033.05,84322.78,12.07,True
2024,Q2,2024-Q2,Finance,OpEx,20,429174.26,460967.65,31793.38,7.41,True
2024,Q2,2024-Q2,Human Resources,OpEx,16,374317.72,417534.3,43216.59,11.55,True
2024,Q3,2024-Q3,Cloud Software,COGS+OpEx,92,2192942.6,2350845.34,157902.74,7.2,True
2024,Q3,2024-Q3,Professional Services,COGS+OpEx,71,1484122.18,1557035.12,72912.95,4.91,True
2024,Q3,2024-Q3,Support & Maintenance,COGS+OpEx,45,1102691.12,1216470.89,113779.77,10.32,True
2024,Q3,2024-Q3,Sales & Marketing,OpEx,61,1265798.6,1411666.0,145867.41,11.52,True
2024,Q3,2024-Q3,Research & Development,OpEx,54,1194463.27,1249116.98,54653.71,4.58,True
2024,Q3,2024-Q3,General & Administrative,OpEx,33,722220.7,759564.35,37343.65,5.17,True
2024,Q3,2024-Q3,Finance,OpEx,19,425509.77,446108.99,20599.22,4.84,True
