fiscal_year,kpi_name,target,actual,vs_target,status
2022,Revenue Growth YoY %,,,,Forecast
2023,Revenue Growth YoY %,18.0,18.4,0.4,Hit
2024,Revenue Growth YoY %,9.0,7.1,-1.9,Miss
2025,Revenue Growth YoY %,11.0,,,Forecast
2022,Gross Margin %,68.0,67.4,-0.6,Miss
2023,Gross Margin %,69.0,68.1,-0.9,Miss
2024,Gross Margin %,67.0,63.8,-3.2,Miss
2025,Gross Margin %,69.0,65.2,-3.8,Miss
2022,EBIT Margin %,18.0,17.2,-0.8,Miss
2023,EBIT Margin %,19.0,18.6,-0.4,Hit
2024,EBIT Margin %,17.0,13.1,-3.9,Miss
2025,EBIT Margin %,18.5,14.8,-3.7,Miss
2022,Net Margin %,13.0,12.5,-0.5,Hit
2023,Net Margin %,14.0,13.9,-0.1,Hit
2024,Net Margin %,12.5,9.6,-2.9,Miss
2025,Net Margin %,14.0,11.2,-2.8,Miss
2022,Budget Variance %,2.0,1.4,-0.6,Miss
2023,Budget Variance %,2.0,1.8,-0.2,Hit
2024,Budget Variance %,2.0,7.2,5.2,Hit
2025,Budget Variance %,2.0,2.1,0.1,Hit
2022,Headcount Growth %,5.0,5.3,0.3,Hit
2023,Headcount Growth %,7.0,7.1,0.1,Hit
2024,Headcount Growth %,8.0,9.4,1.4,Hit
2025,Headcount Growth %,4.0,4.0,0.0,Hit
2022,Opex as % of Revenue,32.0,33.1,1.1,Hit
2023,Opex as % of Revenue,31.0,30.8,-0.2,Hit
2024,Opex as % of Revenue,33.0,38.2,5.2,Hit
2025,Opex as % of Revenue,31.0,36.1,5.1,Hit
