fiscal_year,quarter,period,region,product_name,product_category,deals_closed,avg_deal_value_usd,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct
2022,Q1,2022-Q1,MENA,NovaCRM Enterprise,Cloud Software,3,45518.97,136556.91,32563.08,103993.83,76.15
2022,Q1,2022-Q1,MENA,NovaCRM Professional,Cloud Software,4,16523.36,66093.43,17555.81,48537.62,73.44
2022,Q1,2022-Q1,MENA,NovaERP Core,Cloud Software,4,72134.31,288537.22,75471.77,213065.45,73.84
2022,Q1,2022-Q1,MENA,NovaERP Lite,Cloud Software,4,21912.91,87651.65,22043.01,65608.64,74.85
2022,Q1,2022-Q1,MENA,Implementation Package,Professional Services,3,35413.56,106240.67,68301.34,37939.33,35.71
2022,Q1,2022-Q1,MENA,Custom Integration,Professional Services,2,20736.46,41472.92,26366.85,15106.07,36.42
2022,Q1,2022-Q1,MENA,Training & Onboarding,Professional Services,3,8377.74,25133.23,15960.46,9172.77,36.5
2022,Q1,2022-Q1,MENA,Annual Support Plan,Support & Maintenance,8,9512.32,76098.53,29159.63,46938.9,61.68
2022,Q1,2022-Q1,MENA,Premium SLA Contract,Support & Maintenance,5,16612.72,83063.6,31874.93,51188.67,61.63
2022,Q1,2022-Q1,Europe,NovaCRM Enterprise,Cloud Software,3,44543.28,133629.85,32258.75,101371.1,75.86
2022,Q1,2022-Q1,Europe,NovaCRM Professional,Cloud Software,3,18621.27,55863.8,13027.96,42835.84,76.68
2022,Q1,2022-Q1,Europe,NovaERP Core,Cloud Software,4,69232.29,276929.14,74575.67,202353.47,73.07
2022,Q1,2022-Q1,Europe,NovaERP Lite,Cloud Software,3,23032.28,69096.84,18571.77,50525.07,73.12
2022,Q1,2022-Q1,Europe,Implementation Package,Professional Services,3,35789.63,107368.89,67086.43,40282.46,37.52
2022,Q1,2022-Q1,Europe,Custom Integration,Professional Services,2,22006.52,44013.05,30573.89,13439.16,30.53
2022,Q1,2022-Q1,Europe,Training & Onboarding,Professional Services,2,8378.81,16757.61,10509.0,6248.61,37.29
2022,Q1,2022-Q1,Europe,Annual Support Plan,Support & Maintenance,6,8909.34,53456.06,20779.2,32676.86,61.13
2022,Q1,2022-Q1,Europe,Premium SLA Contract,Support & Maintenance,6,17570.55,105423.29,40431.33,64991.96,61.65
2022,Q1,2022-Q1,Asia-Pacific,NovaCRM Enterprise,Cloud Software,2,47596.46,95192.93,22993.4,72199.53,75.85
2022,Q1,2022-Q1,Asia-Pacific,NovaCRM Professional,Cloud Software,3,16616.78,49850.34,12424.98,37425.36,75.08
2022,Q1,2022-Q1,Asia-Pacific,NovaERP Core,Cloud Software,3,65359.69,196079.08,47738.23,148340.85,75.65
